variant,intensityMode,taskMode,scenarioSeed,optimizerSeed,fixedErr,dfMHz,scanTimeSec,nFreq,heightResolutionKm,integrationGainDb,observabilityScore,optimizationFeasible,constraintViolation
full_system,weak,fast,3101,20260515,0,0.24674699311423,0.24,5,1.78496748748022,18.9209460269048,0.815781859064629,1,0
full_system,weak,weakEs,3101,20260515,0,0.05,4.25004016453174,21,1.798754748,25.6110138364906,0.757929559749326,1,0.180566712369927
full_system,strong,fast,3101,20260515,0,0.24674699311423,0.576,12,1.78496748748022,18.9209460269048,0.815781859064629,1,0.0472727272727273
full_system,strong,weakEs,3101,20260515,0,0.109043514949446,3.20485438934568,26,1.73414414897408,22.6007138798507,0.542908134275053,0,0.177091865724947
no_baseline,weak,fast,3101,20260515,0,0.24674699311423,0.24,5,1.78496748748022,18.9209460269048,0.815781859064629,1,0
no_baseline,weak,weakEs,3101,20260515,0,0.05,4.704,21,1.798754748,25.6110138364906,0.757929559749326,1,0.306666666666667
no_baseline,strong,fast,3101,20260515,0,0.24674699311423,0.576,12,1.78496748748022,18.9209460269048,0.815781859064629,1,0.0472727272727273
no_baseline,strong,weakEs,3101,20260515,0,0.109043514949446,3.20485438934568,26,1.73414414897408,22.6007138798507,0.542908134275053,1,0
no_rule_seed,weak,fast,3101,20260515,0,0.311756407931493,0.563135752208665,4,4.79719571937094,22.5720996964787,1,0,0.489926679027479
no_rule_seed,weak,weakEs,3101,20260515,0,0.110775084258986,4.90472949553949,10,3.12137671581827,27.160033436348,0.868573816882,1,0.36242485987208
no_rule_seed,strong,fast,3101,20260515,0,0.436333900458385,0.932514486906491,7,1.54031337780048,23.1806333496276,1,0,0.877150387576454
no_rule_seed,strong,weakEs,3101,20260515,0,0.187104029951118,3.69679412723966,15,3.55701963175399,25.0024801833416,0.714462870238688,0,0.143993022251005
no_iri_prior,weak,fast,3101,20260515,0,0.0530145049831486,0.735636397946005,10,1.40979990383765,20.1703333929878,0.905023813784843,1,0.337520723538192
no_iri_prior,weak,weakEs,3101,20260515,0,0.05,2.22621151475472,11,1.798754748,25.6110138364906,0.757929559749326,1,0
no_iri_prior,strong,fast,3101,20260515,0,0.0530145049831486,0.735636397946005,10,1.40979990383765,20.1703333929878,0.905023813784843,1,0.337520723538192
no_iri_prior,strong,weakEs,3101,20260515,0,0.05,2.22621151475472,11,1.798754748,25.6110138364906,0.757929559749326,1,0
unified_objective,weak,fast,3101,20260515,0,0.24674699311423,0.24,5,1.78496748748022,18.9209460269048,0.815781859064629,1,0
unified_objective,weak,weakEs,3101,20260515,0,0.05,4.25004016453174,21,1.798754748,25.6110138364906,0.757929559749326,1,0.180566712369927
unified_objective,strong,fast,3101,20260515,0,0.24674699311423,0.576,12,1.78496748748022,18.9209460269048,0.815781859064629,1,0.0472727272727273
unified_objective,strong,weakEs,3101,20260515,0,0.109043514949446,3.20485438934568,26,1.73414414897408,22.6007138798507,0.542908134275053,0,0.177091865724947
